date_plus_habit_name;habit_name;habit_periodicity;date;completed
2024-05-01 - lightsaber training;lightsaber training;daily;2024-05-01;0
2024-05-02 - lightsaber training;lightsaber training;daily;2024-05-02;0
2024-05-03 - lightsaber training;lightsaber training;daily;2024-05-03;0
2024-05-04 - lightsaber training;lightsaber training;daily;2024-05-04;0
2024-05-05 - lightsaber training;lightsaber training;daily;2024-05-05;1
2024-05-06 - lightsaber training;lightsaber training;daily;2024-05-06;1
2024-05-07 - lightsaber training;lightsaber training;daily;2024-05-07;1
2024-05-08 - lightsaber training;lightsaber training;daily;2024-05-08;1
2024-05-09 - lightsaber training;lightsaber training;daily;2024-05-09;1
2024-05-10 - lightsaber training;lightsaber training;daily;2024-05-10;1
2024-05-11 - lightsaber training;lightsaber training;daily;2024-05-11;1
2024-05-12 - lightsaber training;lightsaber training;daily;2024-05-12;1
2024-05-13 - lightsaber training;lightsaber training;daily;2024-05-13;1
2024-05-14 - lightsaber training;lightsaber training;daily;2024-05-14;1
2024-05-15 - lightsaber training;lightsaber training;daily;2024-05-15;1
2024-05-16 - lightsaber training;lightsaber training;daily;2024-05-16;1
2024-05-17 - lightsaber training;lightsaber training;daily;2024-05-17;1
2024-05-18 - lightsaber training;lightsaber training;daily;2024-05-18;1
2024-05-19 - lightsaber training;lightsaber training;daily;2024-05-19;1
2024-05-20 - lightsaber training;lightsaber training;daily;2024-05-20;1
2024-05-21 - lightsaber training;lightsaber training;daily;2024-05-21;1
2024-05-22 - lightsaber training;lightsaber training;daily;2024-05-22;1
2024-05-23 - lightsaber training;lightsaber training;daily;2024-05-23;1
2024-05-24 - lightsaber training;lightsaber training;daily;2024-05-24;1
2024-05-25 - lightsaber training;lightsaber training;daily;2024-05-25;1
2024-05-26 - lightsaber training;lightsaber training;daily;2024-05-26;1
2024-05-27 - lightsaber training;lightsaber training;daily;2024-05-27;1
2024-05-28 - lightsaber training;lightsaber training;daily;2024-05-28;1
2024-05-29 - lightsaber training;lightsaber training;daily;2024-05-29;1
2024-05-30 - lightsaber training;lightsaber training;daily;2024-05-30;1
2024-05-31 - lightsaber training;lightsaber training;daily;2024-05-31;1
2024-06-01 - lightsaber training;lightsaber training;daily;2024-06-01;1
2024-06-02 - lightsaber training;lightsaber training;daily;2024-06-02;1
2024-06-03 - lightsaber training;lightsaber training;daily;2024-06-03;1
2024-06-04 - lightsaber training;lightsaber training;daily;2024-06-04;1
2024-06-05 - lightsaber training;lightsaber training;daily;2024-06-05;1
2024-05-01 - meditate;meditate;daily;2024-05-01;1
2024-05-02 - meditate;meditate;daily;2024-05-02;1
2024-05-03 - meditate;meditate;daily;2024-05-03;1
2024-05-04 - meditate;meditate;daily;2024-05-04;1
2024-05-05 - meditate;meditate;daily;2024-05-05;1
2024-05-06 - meditate;meditate;daily;2024-05-06;1
2024-05-07 - meditate;meditate;daily;2024-05-07;1
2024-05-08 - meditate;meditate;daily;2024-05-08;1
2024-05-09 - meditate;meditate;daily;2024-05-09;1
2024-05-10 - meditate;meditate;daily;2024-05-10;1
2024-05-11 - meditate;meditate;daily;2024-05-11;1
2024-05-12 - meditate;meditate;daily;2024-05-12;1
2024-05-13 - meditate;meditate;daily;2024-05-13;1
2024-05-14 - meditate;meditate;daily;2024-05-14;1
2024-05-15 - meditate;meditate;daily;2024-05-15;1
2024-05-16 - meditate;meditate;daily;2024-05-16;1
2024-05-17 - meditate;meditate;daily;2024-05-17;1
2024-05-18 - meditate;meditate;daily;2024-05-18;1
2024-05-19 - meditate;meditate;daily;2024-05-19;1
2024-05-20 - meditate;meditate;daily;2024-05-20;1
2024-05-21 - meditate;meditate;daily;2024-05-21;1
2024-05-22 - meditate;meditate;daily;2024-05-22;1
2024-05-23 - meditate;meditate;daily;2024-05-23;1
2024-05-24 - meditate;meditate;daily;2024-05-24;1
2024-05-25 - meditate;meditate;daily;2024-05-25;0
2024-05-26 - meditate;meditate;daily;2024-05-26;0
2024-05-27 - meditate;meditate;daily;2024-05-27;0
2024-05-28 - meditate;meditate;daily;2024-05-28;0
2024-05-29 - meditate;meditate;daily;2024-05-29;0
2024-05-30 - meditate;meditate;daily;2024-05-30;0
2024-05-31 - meditate;meditate;daily;2024-05-31;0
2024-06-01 - meditate;meditate;daily;2024-06-01;0
2024-06-02 - meditate;meditate;daily;2024-06-02;0
2024-06-03 - meditate;meditate;daily;2024-06-03;0
2024-06-04 - meditate;meditate;daily;2024-06-04;0
2024-06-05 - meditate;meditate;daily;2024-06-05;0
2024-05-01 - practice force lightning;practice force lightning;weekly;2024-05-01;1
2024-05-02 - practice force lightning;practice force lightning;weekly;2024-05-02;0
2024-05-03 - practice force lightning;practice force lightning;weekly;2024-05-03;0
2024-05-04 - practice force lightning;practice force lightning;weekly;2024-05-04;0
2024-05-05 - practice force lightning;practice force lightning;weekly;2024-05-05;0
2024-05-06 - practice force lightning;practice force lightning;weekly;2024-05-06;1
2024-05-07 - practice force lightning;practice force lightning;weekly;2024-05-07;1
2024-05-08 - practice force lightning;practice force lightning;weekly;2024-05-08;0
2024-05-09 - practice force lightning;practice force lightning;weekly;2024-05-09;0
2024-05-10 - practice force lightning;practice force lightning;weekly;2024-05-10;0
2024-05-11 - practice force lightning;practice force lightning;weekly;2024-05-11;1
2024-05-12 - practice force lightning;practice force lightning;weekly;2024-05-12;1
2024-05-13 - practice force lightning;practice force lightning;weekly;2024-05-13;1
2024-05-14 - practice force lightning;practice force lightning;weekly;2024-05-14;0
2024-05-15 - practice force lightning;practice force lightning;weekly;2024-05-15;0
2024-05-16 - practice force lightning;practice force lightning;weekly;2024-05-16;1
